month,cnt,ebird_code
2018-06-01,18114,amered
2018-07-01,6329,amered
2018-08-01,9624,amered
2018-09-01,25684,amered
2018-10-01,10959,amered
2018-11-01,1896,amered
2018-12-01,1135,amered
2019-01-01,1484,amered
2019-02-01,1311,amered
2019-03-01,1493,amered
2019-04-01,8639,amered
2019-05-01,83330,amered
2019-06-01,21020,amered
2019-07-01,8459,amered
2019-08-01,11052,amered
2019-09-01,32978,amered
2019-10-01,16398,amered
2019-11-01,2540,amered
2019-12-01,1340,amered
2020-01-01,1665,amered
2020-02-01,1191,amered
2020-03-01,1238,amered
2020-04-01,8555,amered
2020-05-01,95275,amered
