month,cnt,ebird_code
2018-06-01,34013,comrav
2018-07-01,24684,comrav
2018-08-01,24498,comrav
2018-09-01,32107,comrav
2018-10-01,31753,comrav
2018-11-01,26444,comrav
2018-12-01,34364,comrav
2019-01-01,42022,comrav
2019-02-01,32039,comrav
2019-03-01,43314,comrav
2019-04-01,50673,comrav
2019-05-01,57577,comrav
2019-06-01,42400,comrav
2019-07-01,28445,comrav
2019-08-01,29958,comrav
2019-09-01,36264,comrav
2019-10-01,35376,comrav
2019-11-01,32461,comrav
2019-12-01,34851,comrav
2020-01-01,46169,comrav
2020-02-01,43075,comrav
2020-03-01,44211,comrav
2020-04-01,53709,comrav
2020-05-01,65521,comrav
