month,cnt,ebird_code
2018-06-01,46825,dowwoo
2018-07-01,45010,dowwoo
2018-08-01,45258,dowwoo
2018-09-01,69898,dowwoo
2018-10-01,71596,dowwoo
2018-11-01,63803,dowwoo
2018-12-01,77240,dowwoo
2019-01-01,94781,dowwoo
2019-02-01,78227,dowwoo
2019-03-01,89554,dowwoo
2019-04-01,116352,dowwoo
2019-05-01,124372,dowwoo
2019-06-01,55657,dowwoo
2019-07-01,49011,dowwoo
2019-08-01,55383,dowwoo
2019-09-01,79213,dowwoo
2019-10-01,79627,dowwoo
2019-11-01,69727,dowwoo
2019-12-01,82619,dowwoo
2020-01-01,98477,dowwoo
2020-02-01,93455,dowwoo
2020-03-01,113865,dowwoo
2020-04-01,167343,dowwoo
2020-05-01,198535,dowwoo
