month,cnt,ebird_code
2018-06-01,23755,eucdov
2018-07-01,22903,eucdov
2018-08-01,24233,eucdov
2018-09-01,23665,eucdov
2018-10-01,18894,eucdov
2018-11-01,16860,eucdov
2018-12-01,21666,eucdov
2019-01-01,29421,eucdov
2019-02-01,24891,eucdov
2019-03-01,36054,eucdov
2019-04-01,43861,eucdov
2019-05-01,42479,eucdov
2019-06-01,26696,eucdov
2019-07-01,24176,eucdov
2019-08-01,26616,eucdov
2019-09-01,25695,eucdov
2019-10-01,21079,eucdov
2019-11-01,18660,eucdov
2019-12-01,22319,eucdov
2020-01-01,31531,eucdov
2020-02-01,31505,eucdov
2020-03-01,35538,eucdov
2020-04-01,47323,eucdov
2020-05-01,52641,eucdov
