month,cnt,ebird_code
2018-06-01,12435,herthr
2018-07-01,9379,herthr
2018-08-01,2407,herthr
2018-09-01,3223,herthr
2018-10-01,18451,herthr
2018-11-01,15133,herthr
2018-12-01,16769,herthr
2019-01-01,16693,herthr
2019-02-01,11187,herthr
2019-03-01,12868,herthr
2019-04-01,21192,herthr
2019-05-01,18317,herthr
2019-06-01,13344,herthr
2019-07-01,10302,herthr
2019-08-01,3080,herthr
2019-09-01,3432,herthr
2019-10-01,17384,herthr
2019-11-01,19316,herthr
2019-12-01,18918,herthr
2020-01-01,17173,herthr
2020-02-01,12987,herthr
2020-03-01,14359,herthr
2020-04-01,36498,herthr
2020-05-01,25254,herthr
