month,cnt,ebird_code
2018-06-01,96626,norcar
2018-07-01,82204,norcar
2018-08-01,73894,norcar
2018-09-01,84643,norcar
2018-10-01,89503,norcar
2018-11-01,80994,norcar
2018-12-01,96287,norcar
2019-01-01,128275,norcar
2019-02-01,120731,norcar
2019-03-01,157153,norcar
2019-04-01,216962,norcar
2019-05-01,233816,norcar
2019-06-01,112829,norcar
2019-07-01,92486,norcar
2019-08-01,91403,norcar
2019-09-01,99199,norcar
2019-10-01,102431,norcar
2019-11-01,88999,norcar
2019-12-01,102619,norcar
2020-01-01,130604,norcar
2020-02-01,138204,norcar
2020-03-01,190698,norcar
2020-04-01,282389,norcar
2020-05-01,350144,norcar
