month,cnt,ebird_code
2018-06-01,49974,normoc
2018-07-01,43543,normoc
2018-08-01,33954,normoc
2018-09-01,38563,normoc
2018-10-01,57264,normoc
2018-11-01,47898,normoc
2018-12-01,54333,normoc
2019-01-01,68554,normoc
2019-02-01,59183,normoc
2019-03-01,74203,normoc
2019-04-01,96749,normoc
2019-05-01,90008,normoc
2019-06-01,56959,normoc
2019-07-01,47075,normoc
2019-08-01,38785,normoc
2019-09-01,43360,normoc
2019-10-01,65870,normoc
2019-11-01,57542,normoc
2019-12-01,60557,normoc
2020-01-01,74321,normoc
2020-02-01,68914,normoc
2020-03-01,83075,normoc
2020-04-01,110175,normoc
2020-05-01,123433,normoc
