month,cnt,ebird_code
2018-06-01,9035,pinsis
2018-07-01,8289,pinsis
2018-08-01,5584,pinsis
2018-09-01,3874,pinsis
2018-10-01,7785,pinsis
2018-11-01,13526,pinsis
2018-12-01,10997,pinsis
2019-01-01,15068,pinsis
2019-02-01,14717,pinsis
2019-03-01,18478,pinsis
2019-04-01,21692,pinsis
2019-05-01,21149,pinsis
2019-06-01,11755,pinsis
2019-07-01,9359,pinsis
2019-08-01,7940,pinsis
2019-09-01,7374,pinsis
2019-10-01,8431,pinsis
2019-11-01,6621,pinsis
2019-12-01,7328,pinsis
2020-01-01,8964,pinsis
2020-02-01,10163,pinsis
2020-03-01,12731,pinsis
2020-04-01,20615,pinsis
2020-05-01,22522,pinsis
