month,cnt,ebird_code
2018-06-01,16366,rebnut
2018-07-01,14020,rebnut
2018-08-01,15372,rebnut
2018-09-01,28233,rebnut
2018-10-01,31008,rebnut
2018-11-01,25835,rebnut
2018-12-01,26277,rebnut
2019-01-01,30610,rebnut
2019-02-01,23360,rebnut
2019-03-01,23835,rebnut
2019-04-01,27478,rebnut
2019-05-01,43569,rebnut
2019-06-01,19536,rebnut
2019-07-01,15554,rebnut
2019-08-01,19849,rebnut
2019-09-01,22903,rebnut
2019-10-01,19059,rebnut
2019-11-01,13562,rebnut
2019-12-01,13300,rebnut
2020-01-01,14984,rebnut
2020-02-01,15210,rebnut
2020-03-01,16529,rebnut
2020-04-01,25490,rebnut
2020-05-01,31072,rebnut
