month,cnt,ebird_code
2018-06-01,49350,rebwoo
2018-07-01,34216,rebwoo
2018-08-01,32328,rebwoo
2018-09-01,58174,rebwoo
2018-10-01,74225,rebwoo
2018-11-01,60808,rebwoo
2018-12-01,69853,rebwoo
2019-01-01,85174,rebwoo
2019-02-01,72515,rebwoo
2019-03-01,86185,rebwoo
2019-04-01,122034,rebwoo
2019-05-01,140523,rebwoo
2019-06-01,58924,rebwoo
2019-07-01,40677,rebwoo
2019-08-01,40508,rebwoo
2019-09-01,65984,rebwoo
2019-10-01,80866,rebwoo
2019-11-01,66859,rebwoo
2019-12-01,75061,rebwoo
2020-01-01,91021,rebwoo
2020-02-01,86892,rebwoo
2020-03-01,112648,rebwoo
2020-04-01,172645,rebwoo
2020-05-01,219582,rebwoo
