month,cnt,ebird_code
2018-06-01,2903,redcro
2018-07-01,2278,redcro
2018-08-01,1919,redcro
2018-09-01,1237,redcro
2018-10-01,739,redcro
2018-11-01,808,redcro
2018-12-01,964,redcro
2019-01-01,1072,redcro
2019-02-01,877,redcro
2019-03-01,1087,redcro
2019-04-01,1352,redcro
2019-05-01,1999,redcro
2019-06-01,3701,redcro
2019-07-01,4561,redcro
2019-08-01,4619,redcro
2019-09-01,2359,redcro
2019-10-01,1661,redcro
2019-11-01,1674,redcro
2019-12-01,1338,redcro
2020-01-01,1852,redcro
2020-02-01,2072,redcro
2020-03-01,1856,redcro
2020-04-01,2275,redcro
2020-05-01,3465,redcro
