month,cnt,ebird_code
2018-06-01,93321,sonspa
2018-07-01,76291,sonspa
2018-08-01,54909,sonspa
2018-09-01,55364,sonspa
2018-10-01,74602,sonspa
2018-11-01,60621,sonspa
2018-12-01,68707,sonspa
2019-01-01,83538,sonspa
2019-02-01,67652,sonspa
2019-03-01,114460,sonspa
2019-04-01,151849,sonspa
2019-05-01,185636,sonspa
2019-06-01,108702,sonspa
2019-07-01,85247,sonspa
2019-08-01,67052,sonspa
2019-09-01,61205,sonspa
2019-10-01,81371,sonspa
2019-11-01,75457,sonspa
2019-12-01,79742,sonspa
2020-01-01,91015,sonspa
2020-02-01,88560,sonspa
2020-03-01,142352,sonspa
2020-04-01,202072,sonspa
2020-05-01,261435,sonspa
