month,cnt,ebird_code
2018-06-01,32378,warvir
2018-07-01,14899,warvir
2018-08-01,9770,warvir
2018-09-01,12854,warvir
2018-10-01,1284,warvir
2018-11-01,297,warvir
2018-12-01,638,warvir
2019-01-01,748,warvir
2019-02-01,632,warvir
2019-03-01,1404,warvir
2019-04-01,12633,warvir
2019-05-01,74884,warvir
2019-06-01,37725,warvir
2019-07-01,18712,warvir
2019-08-01,11190,warvir
2019-09-01,13381,warvir
2019-10-01,1332,warvir
2019-11-01,303,warvir
2019-12-01,518,warvir
2020-01-01,898,warvir
2020-02-01,727,warvir
2020-03-01,1215,warvir
2020-04-01,12596,warvir
2020-05-01,92675,warvir
