month,cnt,ebird_code
2018-06-01,37827,whbnut
2018-07-01,37822,whbnut
2018-08-01,39986,whbnut
2018-09-01,58278,whbnut
2018-10-01,60501,whbnut
2018-11-01,55055,whbnut
2018-12-01,63336,whbnut
2019-01-01,73701,whbnut
2019-02-01,59258,whbnut
2019-03-01,68136,whbnut
2019-04-01,82327,whbnut
2019-05-01,94139,whbnut
2019-06-01,43332,whbnut
2019-07-01,41037,whbnut
2019-08-01,47747,whbnut
2019-09-01,62416,whbnut
2019-10-01,55504,whbnut
2019-11-01,50352,whbnut
2019-12-01,58618,whbnut
2020-01-01,68849,whbnut
2020-02-01,66019,whbnut
2020-03-01,77836,whbnut
2020-04-01,110733,whbnut
2020-05-01,147005,whbnut
