month,cnt,ebird_code
2018-06-01,11211,whcspa
2018-07-01,8991,whcspa
2018-08-01,5762,whcspa
2018-09-01,19937,whcspa
2018-10-01,47864,whcspa
2018-11-01,34286,whcspa
2018-12-01,36627,whcspa
2019-01-01,43084,whcspa
2019-02-01,31368,whcspa
2019-03-01,37815,whcspa
2019-04-01,42630,whcspa
2019-05-01,48950,whcspa
2019-06-01,15769,whcspa
2019-07-01,10869,whcspa
2019-08-01,7519,whcspa
2019-09-01,20800,whcspa
2019-10-01,46662,whcspa
2019-11-01,38514,whcspa
2019-12-01,37960,whcspa
2020-01-01,46233,whcspa
2020-02-01,38077,whcspa
2020-03-01,38115,whcspa
2020-04-01,51727,whcspa
2020-05-01,57479,whcspa
