sciName,comName,speciesCode,category,taxonOrder,order,familyComName,familySciName
Struthio camelus,Common Ostrich,ostric2,species,1.0,Struthioniformes,Ostriches,Struthionidae
Struthio molybdophanes,Somali Ostrich,ostric3,species,6.0,Struthioniformes,Ostriches,Struthionidae
Struthio camelus/molybdophanes,Common/Somali Ostrich,y00934,slash,7.0,Struthioniformes,Ostriches,Struthionidae
Rhea americana,Greater Rhea,grerhe1,species,8.0,Rheiformes,Rheas,Rheidae
Rhea pennata,Lesser Rhea,lesrhe2,species,14.0,Rheiformes,Rheas,Rheidae
Rhea pennata tarapacensis/garleppi,Lesser Rhea (Puna),lesrhe4,issf,15.0,Rheiformes,Rheas,Rheidae
Rhea pennata pennata,Lesser Rhea (Darwin's),lesrhe3,issf,18.0,Rheiformes,Rheas,Rheidae
Nothocercus julius,Tawny-breasted Tinamou,tabtin1,species,19.0,Tinamiformes,Tinamous,Tinamidae
Nothocercus bonapartei,Highland Tinamou,higtin1,species,20.0,Tinamiformes,Tinamous,Tinamidae
Nothocercus bonapartei [bonapartei Group],Highland Tinamou (South American),higtin2,issf,21.0,Tinamiformes,Tinamous,Tinamidae
Nothocercus bonapartei frantzii,Highland Tinamou (Costa Rican),higtin3,issf,26.0,Tinamiformes,Tinamous,Tinamidae
Nothocercus nigrocapillus,Hooded Tinamou,hootin1,species,27.0,Tinamiformes,Tinamous,Tinamidae
Tinamus tao,Gray Tinamou,grytin1,species,30.0,Tinamiformes,Tinamous,Tinamidae
Tinamus solitarius,Solitary Tinamou,soltin1,species,35.0,Tinamiformes,Tinamous,Tinamidae
Tinamus osgoodi,Black Tinamou,blatin1,species,36.0,Tinamiformes,Tinamous,Tinamidae
Tinamus major,Great Tinamou,gretin1,species,39.0,Tinamiformes,Tinamous,Tinamidae
Tinamus guttatus,White-throated Tinamou,whttin1,species,52.0,Tinamiformes,Tinamous,Tinamidae
Tinamus sp.,Tinamus sp.,tinamu1,spuh,53.0,Tinamiformes,Tinamous,Tinamidae
Crypturellus cinereus,Cinereous Tinamou,cintin1,species,54.0,Tinamiformes,Tinamous,Tinamidae
Crypturellus berlepschi,Berlepsch's Tinamou,bertin1,species,55.0,Tinamiformes,Tinamous,Tinamidae
Crypturellus soui,Little Tinamou,littin1,species,56.0,Tinamiformes,Tinamous,Tinamidae
Crypturellus ptaritepui,Tepui Tinamou,teptin1,species,71.0,Tinamiformes,Tinamous,Tinamidae
Crypturellus obsoletus,Brown Tinamou,brotin1,species,72.0,Tinamiformes,Tinamous,Tinamidae
Crypturellus obsoletus castaneus,Brown Tinamou (castaneus),brntin1,issf,73.0,Tinamiformes,Tinamous,Tinamidae
Crypturellus obsoletus [obsoletus Group],Brown Tinamou (Brown),brntin2,issf,74.0,Tinamiformes,Tinamous,Tinamidae
Crypturellus undulatus,Undulated Tinamou,undtin1,species,83.0,Tinamiformes,Tinamous,Tinamidae
Crypturellus transfasciatus,Pale-browed Tinamou,pabtin1,species,90.0,Tinamiformes,Tinamous,Tinamidae
Crypturellus strigulosus,Brazilian Tinamou,bratin1,species,91.0,Tinamiformes,Tinamous,Tinamidae
Crypturellus duidae,Gray-legged Tinamou,gyltin1,species,92.0,Tinamiformes,Tinamous,Tinamidae
Crypturellus erythropus,Red-legged Tinamou,reltin1,species,93.0,Tinamiformes,Tinamous,Tinamidae
Crypturellus noctivagus,Yellow-legged Tinamou,yeltin1,species,101.0,Tinamiformes,Tinamous,Tinamidae
Crypturellus noctivagus zabele,Yellow-legged Tinamou (zabele),yeltin2,issf,102.0,Tinamiformes,Tinamous,Tinamidae
Crypturellus noctivagus noctivagus,Yellow-legged Tinamou (noctivagus),yeltin3,issf,103.0,Tinamiformes,Tinamous,Tinamidae
Crypturellus atrocapillus,Black-capped Tinamou,blctin1,species,104.0,Tinamiformes,Tinamous,Tinamidae
Crypturellus boucardi,Slaty-breasted Tinamou,slbtin1,species,107.0,Tinamiformes,Tinamous,Tinamidae
Crypturellus kerriae,Choco Tinamou,chotin1,species,110.0,Tinamiformes,Tinamous,Tinamidae
Crypturellus variegatus,Variegated Tinamou,vartin1,species,111.0,Tinamiformes,Tinamous,Tinamidae
Crypturellus cinnamomeus,Thicket Tinamou,thitin1,species,112.0,Tinamiformes,Tinamous,Tinamidae
Crypturellus cinnamomeus occidentalis,Thicket Tinamou (occidentalis),thitin2,issf,113.0,Tinamiformes,Tinamous,Tinamidae
Crypturellus cinnamomeus [cinnamomeus Group],Thicket Tinamou (cinnamomeus Group),thitin3,issf,114.0,Tinamiformes,Tinamous,Tinamidae
Crypturellus brevirostris,Rusty Tinamou,rustin1,species,123.0,Tinamiformes,Tinamous,Tinamidae
Crypturellus bartletti,Bartlett's Tinamou,bartin2,species,124.0,Tinamiformes,Tinamous,Tinamidae
Crypturellus parvirostris,Small-billed Tinamou,smbtin1,species,125.0,Tinamiformes,Tinamous,Tinamidae
Crypturellus casiquiare,Barred Tinamou,bartin1,species,126.0,Tinamiformes,Tinamous,Tinamidae
Crypturellus tataupa,Tataupa Tinamou,tattin1,species,127.0,Tinamiformes,Tinamous,Tinamidae
Crypturellus sp.,Crypturellus sp.,cryptu1,spuh,132.0,Tinamiformes,Tinamous,Tinamidae
Rhynchotus rufescens,Red-winged Tinamou,rewtin1,species,133.0,Tinamiformes,Tinamous,Tinamidae
Rhynchotus maculicollis,Huayco Tinamou,huatin1,species,137.0,Tinamiformes,Tinamous,Tinamidae
Nothoprocta taczanowskii,Taczanowski's Tinamou,tactin1,species,138.0,Tinamiformes,Tinamous,Tinamidae
Nothoprocta ornata,Ornate Tinamou,orntin1,species,139.0,Tinamiformes,Tinamous,Tinamidae
Nothoprocta perdicaria,Chilean Tinamou,chitin1,species,143.0,Tinamiformes,Tinamous,Tinamidae
Nothoprocta cinerascens,Brushland Tinamou,brutin1,species,146.0,Tinamiformes,Tinamous,Tinamidae
Nothoprocta pentlandii,Andean Tinamou,andtin1,species,149.0,Tinamiformes,Tinamous,Tinamidae
Nothoprocta curvirostris,Curve-billed Tinamou,cubtin1,species,157.0,Tinamiformes,Tinamous,Tinamidae
Nothoprocta sp.,Nothoprocta sp.,nothop1,spuh,160.0,Tinamiformes,Tinamous,Tinamidae
Nothura boraquira,White-bellied Nothura,whbnot1,species,161.0,Tinamiformes,Tinamous,Tinamidae
Nothura minor,Lesser Nothura,lesnot1,species,162.0,Tinamiformes,Tinamous,Tinamidae
Nothura darwinii,Darwin's Nothura,darnot1,species,163.0,Tinamiformes,Tinamous,Tinamidae
Nothura maculosa,Spotted Nothura,sponot1,species,169.0,Tinamiformes,Tinamous,Tinamidae
Taoniscus nanus,Dwarf Tinamou,dwatin1,species,179.0,Tinamiformes,Tinamous,Tinamidae
Eudromia elegans,Elegant Crested-Tinamou,elctin1,species,180.0,Tinamiformes,Tinamous,Tinamidae
Eudromia formosa,Quebracho Crested-Tinamou,quctin1,species,191.0,Tinamiformes,Tinamous,Tinamidae
Tinamotis pentlandii,Puna Tinamou,puntin1,species,194.0,Tinamiformes,Tinamous,Tinamidae
Tinamotis ingoufi,Patagonian Tinamou,pattin1,species,195.0,Tinamiformes,Tinamous,Tinamidae
Tinamidae sp.,tinamou sp.,tinamo1,spuh,196.0,Tinamiformes,Tinamous,Tinamidae
Casuarius casuarius,Southern Cassowary,soucas1,species,197.0,Casuariiformes,Cassowaries and Emu,Casuariidae
Casuarius bennetti,Dwarf Cassowary,dwacas1,species,198.0,Casuariiformes,Cassowaries and Emu,Casuariidae
Casuarius unappendiculatus,Northern Cassowary,norcas1,species,199.0,Casuariiformes,Cassowaries and Emu,Casuariidae
Dromaius novaehollandiae,Emu,emu1,species,200.0,Casuariiformes,Cassowaries and Emu,Casuariidae
Apteryx australis,Southern Brown Kiwi,sobkiw1,species,205.0,Apterygiformes,Kiwis,Apterygidae
Apteryx australis australis,Southern Brown Kiwi (South I.),sobkiw2,issf,206.0,Apterygiformes,Kiwis,Apterygidae
Apteryx australis lawryi,Southern Brown Kiwi (Stewart I.),sobkiw3,issf,207.0,Apterygiformes,Kiwis,Apterygidae
Apteryx rowi,Okarito Brown Kiwi,okbkiw1,species,208.0,Apterygiformes,Kiwis,Apterygidae
Apteryx mantelli,North Island Brown Kiwi,nibkiw1,species,209.0,Apterygiformes,Kiwis,Apterygidae
Apteryx owenii,Little Spotted Kiwi,liskiw1,species,210.0,Apterygiformes,Kiwis,Apterygidae
Apteryx haastii,Great Spotted Kiwi,grskiw1,species,211.0,Apterygiformes,Kiwis,Apterygidae
Anhima cornuta,Horned Screamer,horscr1,species,212.0,Anseriformes,Screamers,Anhimidae
Chauna torquata,Southern Screamer,souscr1,species,213.0,Anseriformes,Screamers,Anhimidae
Chauna chavaria,Northern Screamer,norscr1,species,214.0,Anseriformes,Screamers,Anhimidae
Anseranas semipalmata,Magpie Goose,maggoo1,species,215.0,Anseriformes,Magpie Goose,Anseranatidae
Dendrocygna guttata,Spotted Whistling-Duck,spwduc1,species,216.0,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae
Dendrocygna eytoni,Plumed Whistling-Duck,plwduc1,species,217.0,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae
Dendrocygna viduata,White-faced Whistling-Duck,wfwduc1,species,218.0,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae
Dendrocygna guttata x viduata,Spotted x White-faced Whistling-Duck (hybrid),x00721,hybrid,219.0,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae
Dendrocygna autumnalis,Black-bellied Whistling-Duck,bbwduc,species,220.0,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae
Dendrocygna autumnalis fulgens,Black-bellied Whistling-Duck (fulgens),bkbwhd1,issf,221.0,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae
Dendrocygna autumnalis autumnalis,Black-bellied Whistling-Duck (autumnalis),bkbwhd2,issf,222.0,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae
Dendrocygna arborea,West Indian Whistling-Duck,wiwduc1,species,223.0,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae
Dendrocygna autumnalis x arborea,Black-bellied x West Indian Whistling-Duck (hybrid),x00775,hybrid,224.0,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae
Dendrocygna bicolor,Fulvous Whistling-Duck,fuwduc,species,225.0,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae
Dendrocygna viduata x bicolor,White-faced x Fulvous Whistling-Duck (hybrid),x00938,hybrid,226.0,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae
Dendrocygna autumnalis x bicolor,Black-bellied x Fulvous Whistling-Duck (hybrid),x00875,hybrid,227.0,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae
Dendrocygna arcuata,Wandering Whistling-Duck,wawduc1,species,228.0,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae
Dendrocygna javanica,Lesser Whistling-Duck,lewduc1,species,232.0,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae
Dendrocygna bicolor/javanica,Fulvous/Lesser Whistling-Duck,y01080,slash,233.0,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae
Dendrocygna sp.,whistling-duck sp.,whistl1,spuh,234.0,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae
Thalassornis leuconotus,White-backed Duck,whbduc1,species,235.0,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae
Anser indicus,Bar-headed Goose,bahgoo,species,238.0,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae
Anser canagicus,Emperor Goose,empgoo,species,239.0,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae
Anser caerulescens,Snow Goose,snogoo,species,240.0,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae
Anser rossii,Ross's Goose,rosgoo,species,243.0,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae
Anser caerulescens x rossii,Snow x Ross's Goose (hybrid),sxrgoo1,hybrid,244.0,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae
Anser caerulescens/rossii,Snow/Ross's Goose,y00469,slash,245.0,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae
Anser anser,Graylag Goose,gragoo,species,246.0,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae
Anser anser anser,Graylag Goose (European),gragoo2,issf,247.0,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae
Anser anser rubrirostris,Graylag Goose (Siberian),gragoo3,issf,248.0,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae
Anser anser (Domestic type),Graylag Goose (Domestic type),gragoo1,domestic,249.0,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae
Anser cygnoides,Swan Goose,swagoo1,species,250.0,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae
Anser cygnoides (Domestic type),Swan Goose (Domestic type),swagoo2,domestic,251.0,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae
Anser anser x cygnoides (Domestic type),Graylag x Swan Goose (Domestic type) (hybrid),x00776,hybrid,252.0,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae
Anser albifrons,Greater White-fronted Goose,gwfgoo,species,253.0,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae
Anser albifrons flavirostris,Greater White-fronted Goose (Greenland),gwfgoo1,issf,254.0,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae
Anser albifrons albifrons,Greater White-fronted Goose (Eurasian),gwfgoo4,issf,255.0,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae
Anser albifrons gambelli/sponsa,Greater White-fronted Goose (Western),gwfgoo2,issf,256.0,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae
Anser albifrons elgasi,Greater White-fronted Goose (Tule),gwfgoo3,issf,259.0,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae
Anser indicus x albifrons,Bar-headed x Greater White-fronted Goose (hybrid),x00755,hybrid,260.0,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae
Anser caerulescens x albifrons,Snow x Greater White-fronted Goose (hybrid),x00627,hybrid,261.0,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae
Anser erythropus,Lesser White-fronted Goose,lwfgoo,species,262.0,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae
Anser albifrons/erythropus,Greater/Lesser White-fronted Goose,y00707,slash,263.0,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae
Anser fabalis,Taiga Bean-Goose,taibeg1,species,264.0,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae
Anser serrirostris,Tundra Bean-Goose,tunbeg1,species,268.0,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae
Anser fabalis/serrirostris,Taiga/Tundra Bean-Goose,y00468,slash,271.0,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae
Anser brachyrhynchus,Pink-footed Goose,pifgoo,species,272.0,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae
Anser sp. (Domestic type),Domestic goose sp. (Domestic type),domgoo1,domestic,273.0,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae
Anser sp.,Anser sp.,anser1,spuh,274.0,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae
Branta bernicla,Brant,brant,species,275.0,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae
Branta bernicla bernicla,Brant (Dark-bellied),dabbra1,issf,276.0,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae
Branta bernicla hrota,Brant (Atlantic),atlbra1,issf,277.0,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae
Branta bernicla nigricans,Brant (Black),blkbra1,issf,278.0,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae
Branta bernicla (Gray-bellied),Brant (Gray-bellied),gybbra1,form,279.0,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae
Branta bernicla hrota x nigricans,Brant (Atlantic x Black),brant1,intergrade,280.0,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae
Anser caerulescens x Branta bernicla,Snow Goose x Brant (hybrid),x00685,hybrid,281.0,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae
Branta leucopsis,Barnacle Goose,bargoo,species,282.0,Anseriformes,"Ducks, Geese, and Waterfowl",Anatidae
